CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
TORNILLO 38,ESTRUCTURA,TORNILLERIA,TORNINOX,TOR HEX INOX 3/8 X 1
TUERCA 38,ESTRUCTURA,TORNILLERIA,TORNINOX,TCA HEX INOX 3/8
RONDANA 38,ESTRUCTURA,TORNILLERIA,TORNINOX,ROND PLANA INOX 3/8
TORNILLO Z,ESTRUCTURA,TORNILLERIA,TORNINOX,TOR HEX INOX 1/4 X 1
TORNILLO T,ESTRUCTURA,TORNILLERIA,TORNINOX,TOR HEX INOX CC 1/4 X 2 1/2
TORNILLO 3,ESTRUCTURA,TORNILLERIA,TORNINOX,TOR HEX INOX CC 1/4 X 3
TUERCA 14,ESTRUCTURA,TORNILLERIA,TORNINOX,TCA HEX INOX 1/4
RONDANA 14,ESTRUCTURA,TORNILLERIA,TORNINOX,ROND PLANA INOX 1/4
RONDANA PRESION 14,ESTRUCTURA,TORNILLERIA,TORNINOX,ROND PRESION INOX 1/4
TORNILLO G5 38,ESTRUCTURA,TORNILLERIA,TORNINOX,TOR GRADO 5 3/8 X 1
TUERCA G5 38,ESTRUCTURA,TORNILLERIA,TORNINOX,TCA GRADO 5 3/8
RONDANA PRESION 38,ESTRUCTURA,TORNILLERIA,TORNINOX,ROND PRESION 3/8
PIJABROCA GALVANIZADA 2,ESTRUCTURA,TORNILLERIA,TORNINOX,PIJA BROCA HEX 14 X 2
,,,,
,,,,
CINTAGOMA,ESTRUCTURA,SUJECION,MUNDO DE HULE,EMPAQUE AUTOADHERIBLE 1 1/2 X 1/4 C ADH
,,,,
TORNILLO 38,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,TOR HEX INOX STD 
RONDANA 14,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,ROND INOX T304 PLAN 1/4
TUERCA 14,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,TCA STD INOX 1/4
TORNILLO M8 X 40,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,TOR HEX INOX 8 x 40
TUERCA 8M,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,TUERCA FLANGE 8 MM INOX
RONDANA 8M,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,RONDANA DE PRESION INOX 8 MM
TUERCA 8M INOX,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,TUERCA FLANGE INOXIDABLE 8 MM
TORNILLO 4,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,TOR HEX INOX 1/4 X4
RONDANA PRESION 14,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,ROND INOX T304 PRES 1/4
PIJA GALVANIZADA 212,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,PIJA HEX GALV. 14X2 1/2
PIJA INOX 212,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,PIJA HEX INOX 14 X 2 1/2
TORNILLO Z,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,TOR HEX INOX STD 1/4 x 1
TUERCA 38,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,TCA STD INOX 3/8
RONDANA 38,ESTRUCTURA,TORNILLERIA,MUNDO DEL TORNILLO,ROND INOX T304 PLAN 3/8
,,,,
PTR 2 C.14,ESTRUCTURA,PTR,TUPLASA LP,PTR C-14 AZL 2
SOLDADURA 6013 PN,CONSUMIBLES,SOLDADURA,TUPLASA LP,SOLDADURA INFRA 6013 1/8 
ANGULO METAL 316X112,ESTRUCTURA,PTR,TUPLASA LP,ANGULO 3/16 X 1 1/2
BROCHA PRETUL 2,CONSUMIBLES,HERRAMIENTA,TUPLASA LP,BROCHA PRETUL 
GALON S/R NEGRO,CONSUMIBLES,SOLVENTES Y MAS,TUPLASA LP,GALON PINT S/R NEGRO
LT S/R NEGRO,CONSUMIBLES,SOLVENTES Y MAS,TUPLASA LP,LIT PINTURA S/R NEG
DISCO MAKITA 14,CONSUMIBLES,HERRAMIENTA,TUPLASA LP,"DISCO PARA CORTE 14"" MAKITA"
DISCO BALANCE 412,CONSUMIBLES,HERRAMIENTA,TUPLASA LP,DISCO PARA CORTE PRECISO 4 1/2 BALANCE
BROCHA PRETUL 112,CONSUMIBLES,HERRAMIENTA,TUPLASA LP,BROCHA PRETUL 
GALON S/R CHOCOLATE,CONSUMIBLES,SOLVENTES Y MAS,TUPLASA LP,GALON PINT S/R CHOCOLATE
,,,,
BATERIA GROWWAT 2.5,INVERSOR,AISLADO,COREY SOLAR,GROWATT BATERÍA ARK 2.5
LONGI 550 MONO,PANEL SOLAR,MONOCRISTALINO,COREY SOLAR,LONGI 550W LR5 - 72HPH 550M
JINKO 555 MONO,PANEL SOLAR,MONOCRISTALINO,COREY SOLAR,JINKO 555W - JKM555 M
MICRO HOYMILES 800W,INVERSOR,MONOFASICO,COREY SOLAR,HOYMILES HMS 800 127V
CABLE HOYMILES,INVERSOR,MONOFASICO,COREY SOLAR,HOYMILES HOY TRUNK CABLE PARA HMS
EMPALME HOYMILES,INVERSOR,MONOFASICO,COREY SOLAR,HOYMILES AC T CONNECTOR PARA HMS
CAPUCHA HOYMILES,INVERSOR,MONOFASICO,COREY SOLAR,HOYMILES AC T END CAP PARA HMS
PEDESTAL GROWATT,INVERSOR,AISLADO,COREY SOLAR,GROWATT PEDESTAL BATERÍAS ARK 2.5
GROWAT 3K,INVERSOR,AISLADO,COREY SOLAR,GROWATT SPF 3000 TL LVM 48P
SOLIS S6 3.6K 2F,INVERSOR,BIFASICO,COREY SOLAR,SOLIS MINI S6-GR1P.3.6K-M
SOLIS S6 5K 2F,INVERSOR,BIFASICO,COREY SOLAR,SOLIS S6-GR1P 5K UL
SOLIS S6 6K 2F,INVERSOR,BIFASICO,COREY SOLAR,SOLIS S6-GR1P 6K UL
SOLIS S5 8K 2F,INVERSOR,BIFASICO,COREY SOLAR,SOLIS S5 GR1P8K LV
SOLIS S5 10K 2F,INVERSOR,BIFASICO,COREY SOLAR,SOLIS S5-GR1P10K
CABLE GROWATT 2.5,INVERSOR,AISLADO,COREY SOLAR,GROWATT CABLE BATERÍA ARK 2.5
,,,,
CINTA MASKING 2,CONSUMIBLES,EXTRAS,ARTUROS SUC. FISCALIA,"CINTA MASKING AZUL 2"" 3M"
BROCHA LA SUPER 212,CONSUMIBLES,HERRAMIENTA,ARTUROS SUC. FISCALIA,BROCHA LA SUPER 2 1/2 BYP
BROCA AV 14,CONSUMIBLES,BROCAS,ARTUROS SUC. FISCALIA,BROCA P/FIERRO AV 1/4
BROCA AV 38,CONSUMIBLES,BROCAS,ARTUROS SUC. FISCALIA,BROCA PARA FIERRO AV 3/8
TAQUETE PLAST 38 50PZ,CONSUMIBLES,EXTRAS,ARTUROS SUC. FISCALIA,TAQUETE DE PLASTICO 3/8
BROCHA LA SUPER 2,CONSUMIBLES,HERRAMIENTA,ARTUROS SUC. FISCALIA,"BROCHA LA SUPER 2"" BYP"
DURETAN PENNSYLVANIA BLANCO,CONSUMIBLES,EXTRAS,ARTUROS SUC. FISCALIA,DURETAN CARTUCHO BCO.300ML.PENNSYLVANIA
DISCO MAKITA 14,CONSUMIBLES,DISCOS,ARTUROS SUC. FISCALIA,"DISCO DE CORTE 14"" MAKITA"
DISCO SUPERFLEX 412,CONSUMIBLES,DISCOS,ARTUROS SUC. FISCALIA,DISCO DE CORTE 4 1/2 SUPER FLEX
BICOLOR,CONSUMIBLES,EXTRAS,ARTUROS SUC. FISCALIA,LAPIZ BICOLOR GRUESO
YESO,CONSUMIBLES,EXTRAS,ARTUROS SUC. FISCALIA,YESO
DURETAN PURFLEX GRIS,CONSUMIBLES,EXTRAS,ARTUROS SUC. FISCALIA,SELLADOR DE POLIURETANO PURFLEX 300 ML GRIS FISCHER
BROCA HSS 14,CONSUMIBLES,BROCAS,ARTUROS SUC. FISCALIA,"BROCA HSS 1/4' TRUGOLD PARA METAL, TRUPER EXPERT"
BROCA HSS 38,CONSUMIBLES,BROCAS,ARTUROS SUC. FISCALIA,"BROCA HSS 3/8' TRUGOLD PARA METAL, TRUPER EXPERT"
DISCO HERCORT 412,CONSUMIBLES,DISCOS,ARTUROS SUC. FISCALIA,DISCO ABRAS HERCORT 41/2
CINTA AISLANTE NEGRO,CONSUMIBLES,AISLANTES,ARTUROS SUC. FISCALIA,CINTA AISLANTE DE PVC COLOR NEGRO 3/4 POR 18 MTS
DURETAN PENNSYLVANIA BLANCO,CONSUMIBLES,EXTRAS,ARTUROS SUC. FISCALIA,DURETAN CARTUCHO BLANCO 300ML.PENNSYLVANIA
,,,,
DADO IMANTADO 3/8,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,DADO IMANTADO 3/8 X 1 3/4
PIJA MADERA 144,ESTRUCTURA,TORNILLERIA,ARTUROS SUC. SANTA ANA,PIJA PARA MADERA 14X4
PIJA GALVANIZADA 144,ESTRUCTURA,TORNILLERIA,ARTUROS SUC. SANTA ANA,PIJA HEXAGONAL 1/4 X 4
TAQUETE PLAST 38 50PZ,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,TAQUETE DE PLASTICO 3/8
BICOLOR,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,LAPIZ BICOLOR GRUESO
DURETAN PENNSYLVANIA BLANCO,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,DURETAN CARTUCHO 
DISCO MAKITA 14,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,"DISCO DE CORTE 14"" MAKITA"
BROCA HSS 38,CONSUMIBLES,BROCAS,ARTUROS SUC. SANTA ANA,"BROCA HSS 3/8' TRUGOLD PARA METAL, TRUPER EXPERT"
BROCA HSS 14,CONSUMIBLES,BROCAS,ARTUROS SUC. SANTA ANA,"BROCA HSS 1/4' TRUGOLD PARA METAL, TRUPER EXPERT"
DISCO HERCORT 412,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,DISCO ABRAS HERCORT 41/2
DURETAN SALCHICHA GRIS,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,SALCHICHA SELLADOR DE POLIURETANO GRIS 600 ML DURETAN
PINTURA BCA AGUA LT,CONSUMIBLES,SOLVENTES Y MAS,ARTUROS SUC. SANTA ANA,PINTURA 5 ESTRELLAS BLANCO 1LT
DISCO SUPERFLEX 412,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,DISCO DE CORTE 4 1/2 SUPER FLEX
YESO,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,YESO
BROCHA LA SUPER 2,CONSUMIBLES,HERRAMIENTA,ARTUROS SUC. SANTA ANA,"BROCHA LA SUPER 2"" BYP"
DURETAN PURFLEX BLANCO,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,SELLADOR DE POLIURETANO PURFLEX 300 ML BLANCO
DISCO AXTECH 14,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,"DISCO DE CORTE DELGADO 14"" AXTECH"
DURETAN GRIS,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,DURETAN CARTUCHO GRIS 300 ML
DISCO HERCORT 412,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,"DISCO ABRASIVO DE CORTE DE 4 1/2"" X 3/64"" X 7/8"" HECORT"
DISCO 14,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,DISCO CORTE METAL 14 X7/64X1
ESPUMA POLIURETANO XL,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,ESPUMA DE POLIURETANO PRESTO 750ML. 
ESPUMA POLIURETANO G,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,ESPUMA DE POLIURETANO PRESTO 300ML. FOAM
DISCO CONCRETO LION T,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,"DISCO DIAMANTE 4 1/2"" RIN SEGMENTADO "
CINTA TEFLON,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,"CINTA SELLA ROSCAS 3/4' X 13 M DE LARGO, INDUSTRIAL, EXPERT"
NIPLE GALV 212,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,"NIPLE GALV. 2 1/2"" X C.C."
RED CAMPANA 3A212,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,REDUCCION CAMPANA 3 X 2 1/2 
CABLE C.8 THW B,CORRIENTE ALTERNA,CABLE,ARTUROS SUC. SANTA ANA,CABLE THW CAL 8 600V BLANCO
DURETAN PENNSYLVANIA GRIS,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,DURETAN CARTUCHO BLANCO 300ML.PENNSYLVANIA
DISCO 14 MAKITA,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,"DISCO DE CORTE METAL MAKITA 14"""
PIJA GALVANIZADA 212 100PZ,ESTRUCTURA,TORNILLERIA,ARTUROS SUC. SANTA ANA,"BOLSA CON 100 PIJAS CABEZA HEXAGONAL, #14 X 2-1/2', FIERO"
PUNTILLA 516,CONSUMIBLES,EXTRAS,ARTUROS SUC. SANTA ANA,"ADAPTADOR P/TALADRO DE CAJA MAGNETICA 5/16"""
BROCA ROTOMART 38X8,CONSUMIBLES,BROCAS,ARTUROS SUC. SANTA ANA,"BROCA SDS PLUS 3/8 X 8', TRUPER"
GUANTE N,CONSUMIBLES,EPP,ARTUROS SUC. SANTA ANA,GUANTE PALMA NITRIO NEGRO MED.
DISCO 14 AUSTROMEX,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,"DISCO DE CORTE 14"" AUSTROMEX"
GUANTE SOLDADOR,CONSUMIBLES,EPP,ARTUROS SUC. SANTA ANA,GUANTES DE CARNAZA PARA SOLDADOR 14 TRUEPOWER
MADEJA DE HILO SRTK,CONSUMIBLES,HERRAMIENTA,ARTUROS SUC. SANTA ANA,HILO PARA CONTRUCCION 165 MTS SURTEK
CINCHO PLASTICO 40CM 25PZ,CONSUMIBLES,CINCHOS,ARTUROS SUC. SANTA ANA,"BOLSA CON 25 CINCHOS PLÁSTICOS 50 LB, 400X4.5 MM, NEGROS"
BROCHA TULMAX 212,CONSUMIBLES,HERRAMIENTA,ARTUROS SUC. SANTA ANA,BROCHA DE USO GENERAL CERDA NATURAL 2 1/2 TULMAX
AEROSOL NARANJA NEOR,CONSUMIBLES,SOLVENTES Y MAS,ARTUROS SUC. SANTA ANA,"PINTURA EN AEROSOL, NARANJA NEÓN, BOTE ESBELTO, 400 ML"
DISCO DEWALT 14,CONSUMIBLES,DISCOS,ARTUROS SUC. SANTA ANA,"DISCO ABRASIVO 14"" DEWALT"
PORTAELECTRODOS 300 LION T,CONSUMIBLES,HERRAMIENTA,ARTUROS SUC. SANTA ANA,PINZA PORTA ELECTRODO 300 A LION TOOLS
PINZATIERRA 500 TRUEPWR,CONSUMIBLES,HERRAMIENTA,ARTUROS SUC. SANTA ANA,PINZA PARA TIERRA 500 AMPERES TRUEPOWER
GUANTE N,CONSUMIBLES,EPP,ARTUROS SUC. SANTA ANA,GUANTES PALMA NITRILO NEGRO CHICO
CINCHO SURTEK 20CM 50PZ,CONSUMIBLES,CINCHOS,ARTUROS SUC. SANTA ANA,CINCHOS 203X3.6 MM 50 PZS NATURAL SURTEK
PIJA GALVANIZADA 112,ESTRUCTURA,TORNILLERIA,ARTUROS SUC. SANTA ANA,PIJA 14*1 1/2 FIJADORA
BROCA HSS 14 TRUESILVER,CONSUMIBLES,BROCAS,ARTUROS SUC. SANTA ANA,"BROCA HSS 1/4' TRUSILVER PARA METAL, TRUPER"
BROCA HSS 38 TRUESILVER,CONSUMIBLES,BROCAS,ARTUROS SUC. SANTA ANA,"BROCA HSS 3/8' TRUSILVER PARA METAL, TRUPER"
THINER AMERICANO,CONSUMIBLES,SOLVENTES Y MAS,ARTUROS SUC. SANTA ANA,THINNER AMERICANO LITROS
IMPERMIABILIZANTE 20A 5,CONSUMIBLES,IMPERMEABILIZANTE,ARTUROS SUC. SANTA ANA,IMPERMEABILIZANTE FIBRATADO 5 Aï¿½OS 19 LTS MASTERPROOF
,,,,
GAB S701,CORRIENTE ALTERNA,GABINETE,ELEKTRON,GABINETE MET.PARA INT.JXD6/LXD
CINTA AISLANTE TEMFLEX NEGRO,CONSUMIBLES,AISLANTES,ELEKTRON,CINTA 
CINTA AISLANTE TEMFLEX ROJA,CONSUMIBLES,AISLANTES,ELEKTRON,CINTA AISLAR TEMFLEX 165 ROJA
CINTA AISLANTE TEMFLEX VERDE,CONSUMIBLES,AISLANTES,ELEKTRON,CINTA AISLARTEMFLEX 165 VERDE
UNICANAL 1 ANCLO,TUBERIA,1,ELEKTRON,"ABRAZADERA UNICAL 1"" ANCLO"
UNICANAL 34 ANCLO,TUBERIA,,ELEKTRON,"ABRAZADERA UNICAL 3/4"" ANCLO"
CONTRA 1 ANCLO,TUBERIA,1,ELEKTRON,"CONTRA DE 1"" ANCLO"
CONTRA 34 ANCLO,TUBERIA,,ELEKTRON,"CONTRA 3/4"" ANCLO"
CONEX LICUA 34,TUBERIA,,ELEKTRON,"CONECT LICUATITE RECTO 3/4"" AN"
CONEX LICUA 1,TUBERIA,1,ELEKTRON,"CONECT LICUATITE RECTO 1"" ANCL"
MONITOR 1 ANCLO,TUBERIA,1,ELEKTRON,"MONITOR 1"" ANCLO"
MONITOR 34 ANCLO,TUBERIA,,ELEKTRON,"MONITOR 3/4"" ANCLO"
OMEGA 1 ANCLO,TUBERIA,1,ELEKTRON,"ABRAZADERA OMEGA E/A 1"" ANCLO"
OMEGA 34 ANCLO,TUBERIA,,ELEKTRON,"ABRAZADERA OMEGA E/A 3/4"" ANC"
CONDULET C 34,TUBERIA,,ELEKTRON,CONDULET C SERIE 3 DE 3/4
CONDULET LB 34,TUBERIA,,ELEKTRON,CONDULET LB SERIE 3 DE 3/4
CONDULET LL 34,TUBERIA,,ELEKTRON,CONDULET LL SERIE 3 DE 3/4
CONDULRET LR 34,TUBERIA,,ELEKTRON,CONDULET LR SERIE 3 DE 3/4
CINCHO 36CM NEGRO,CONSUMIBLES,CINCHOS,ELEKTRON,COLLARIN 4.6 X 360MM NEGRO UV
CURVA PG 34,TUBERIA,,ELEKTRON,CODO GALVANIZADO E/A 3/4 (21MM
CURVA PG 1,TUBERIA,1,ELEKTRON,CODO GALVANIZADO E/A 1 (27MM)
VARILLA COOP,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,VARILLA P/TIERRA 5/8X3 C/PRO
BASE M 5100 CUAD,MEDIA TENSION,BASE,ELEKTRON,BASE 1F 5 MORDAZAS 100A SQD P9
ITM 2X30A,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,QO 
ITM 2X40A,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,QO 
ITM 2X50A,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,QO 
CENTRO DE CARGA 2P,CORRIENTE ALTERNA,GABINETE,ELEKTRON,C.C 2P 50A 120/240V SOBREPO P9
LICUAFLEX 1,TUBERIA,1,ELEKTRON,MTS TUBO LICUAFLEX DE 1 TRAMO
LICUAFLEX 34,TUBERIA,,ELEKTRON,MTS TUBO LICUAFLEX DE 3/4 TRAM
CINTA AISLANTE TEMFLEX AZUL,CONSUMIBLES,AISLANTES,ELEKTRON,CINTA AISLAR TEMFLEX 165 AZUL
MONITOR 12 ANCLO,TUBERIA,,ELEKTRON,"MONITOR 1/2"" ANCLO"
CONAJUST 12,TUBERIA,,ELEKTRON,"CONECT P/DELGADA T/A 1/2"""
CABLE C.8 THW N,CORRIENTE ALTERNA,CABLE,ELEKTRON,MTS CABLE THW CAL 8 NGO CAJA
ZAPATA C.8 - 12,CORRIENTE ALTERNA,GABINETE,ELEKTRON,TERM. ANILLO S/A CAL.8 
QUINTA T,MEDIA TENSION,CONECTORES,ELEKTRON,QUINTA TERMINAL IUSA 310903
CONECTOR P VARILLA,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,"CONECTOR P/VARILLA 1/2 Y 5/8"""
GAB S421,CORRIENTE ALTERNA,GABINETE,ELEKTRON,GABINETE MET.PARA INT. FXD6
SIEMENS 175A CON ZAPATAS,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,FXD 
OMEGA 12 ANCLO,TUBERIA,,ELEKTRON,"ABRAZADERA OMEGA E/A 1/2"" ANC"
COPLE ROSCADO 1,TUBERIA,1,ELEKTRON,COPLE GALVANIZADO E/A 1 (27MM)
TUBO PG 34,TUBERIA,,ELEKTRON,"TRAMO DE TUBO E/A 3/4"" C/C (21"
TUBO AJUSTE 12,TUBERIA,,ELEKTRON,TRAMO DE TUBO E/V 1/2 
CURVA PG 114,TUBERIA,1 1/4,ELEKTRON,CODO GALVANIZADO E/A 1 1/4 (35
TUBO PG 114,TUBERIA,1 1/4,ELEKTRON,TRAMO DE TUBO E/A 11/4 S/C (35
CONDULET LB 1,TUBERIA,1,ELEKTRON,CONDULET LB SERIE 3 DE 1
CONDULET LL 1,TUBERIA,1,ELEKTRON,CONDULET LL SERIE 3 DE 1
COPLE ROSCADO 34,TUBERIA,,ELEKTRON,COPLE GALVANIZADO E/A 3/4 (21M
TUBO PG 1,TUBERIA,1,ELEKTRON,"TRAMO DE TUBO E/A 1"" "
CONECTOR P VARILLA,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,"CONECTOR P/VARILLA 5/8"" C/P"
ITM 2X60A,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,QO 
UNICANAL 114 ANCLO,TUBERIA,1 1/4,ELEKTRON,"ABRAZADERA UNICAL 1 1/4"" ANCLO"
CONTRA 114 ANCLO,TUBERIA,1 1/4,ELEKTRON,"CONTRA DE 1 1/4"" ANCLO"
CONEX LICUA 114,TUBERIA,1 1/4,ELEKTRON,"CONECT LICUATITE RECTO 1 1/4"""
MONITOR 114 ANCLO,TUBERIA,1 1/4,ELEKTRON,"MONITOR 1 1/4"" ANCLO"
OMEGA 114 ANCLO,TUBERIA,1 1/4,ELEKTRON,"ABRAZADERA OMEGA E/A 1 1/4"" AN"
CONDULET C 1,TUBERIA,1,ELEKTRON,"CONDULET C SERIE 3 DE 1"""
CONDULET C 114,TUBERIA,1 1/4,ELEKTRON,"CONDULET C SERIE 3 DE 1 1/4"""
CONDULET LB 114,TUBERIA,1 1/4,ELEKTRON,"CONDULET LB SERIE 3 DE 1 1/4"""
CONDULET LL 114,TUBERIA,1 1/4,ELEKTRON,"CONDULET LL SERIE 3 DE 1 1/4"""
CONDULET LR 1,TUBERIA,1,ELEKTRON,CONDULET LR SERIE 3 DE 1
CONDULET LR 114,TUBERIA,1 1/4,ELEKTRON,"CONDULET LR SERIE 3 DE 1 1/4"""
CONDULET T 114,TUBERIA,1 1/4,ELEKTRON,"CONDULET T SERIE 3 DE 1 1/4"""
LICUAFLEX 114,TUBERIA,1 1/4,ELEKTRON,MTS TUBO LILCUAFLEX 1 1/4 TRAM
CABLE C.4/0 THW,CORRIENTE ALTERNA,CABLE,ELEKTRON,MTS CABLE THW CAL 4/0 NGO TRAM
CABLE NEUTRANEL 3 3/0 1 1/0,MEDIA TENSION,CABLE,ELEKTRON,MTS CABLE 
CABLE XLP 3 3/0 1 1/0,MEDIA TENSION,CABLE,ELEKTRON,MTS CABLE 
CONECTOR L 4/0,MEDIA TENSION,CONECTORES,ELEKTRON,CONECTOR L 4/0-1/0 ACSR
COPLE PVC 2,TUBERIA,2,ELEKTRON,"CONECTOR PVC PESADO 2"" C/TUER"
CURVA PVC 2,TUBERIA,2,ELEKTRON,"CODO PVC PESADO 2"""
TUBO PVC 2,TUBERIA,2,ELEKTRON,"TUBO PVC PESADO 2"""
BASE M 14,MEDIA TENSION,BASE,ELEKTRON,BASE MEDICION 13 TERM20 A S/AP
MONITOR 212 ANCLO,TUBERIA,2 1/2,ELEKTRON,"MONITOR 2 1/2"" ANCLO"
MUFA 212,TUBERIA,2 1/2,ELEKTRON,MUFA SECA GALV. DE 2 
TUBO PG 212,TUBERIA,2 1/2,ELEKTRON,"TRAMO DE TUBO E/A 21/2""C/C (63"
CABLE C.1/0 THW,CORRIENTE ALTERNA,CABLE,ELEKTRON,MTS CABLE THW CAL 1/0 NGO TRAM
CABLE C.6 THW,CORRIENTE ALTERNA,CABLE,ELEKTRON,MTS CABLE THW CAL 6 NGO TRAMO
ZAPATA C.6 - 14,CORRIENTE ALTERNA,CONECTORES,ELEKTRON,TERM. ANILLO S/A CAL. 6 
COPLE ROSCADO 114,TUBERIA,1 1/4,ELEKTRON,COPLE GALVANIZADO E/A 11/4 (35
UNICANAL 4X2 C.16,TUBERIA,SUJECION,ELEKTRON,PERFIL UNICANAL 4X2 CAL16 SOLI
UNICANAL 4X4 C.16,TUBERIA,SUJECION,ELEKTRON,PERFIL UNICANAL 4X4 CAL16 SOL
ZAPATA LARGA C.1/0 - 516,CORRIENTE ALTERNA,CONECTORES,ELEKTRON,ZAPATA A COMP. CAL. 1/0 LARGO
SIEMENS 150A CON ZAPATAS,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,FXD 
TORNILLOS TERMO 150-250,CORRIENTE ALTERNA,GABINETE,ELEKTRON,KIT TORNILLOS P/I.T.M. FXD SIE
CONDULET T 1,TUBERIA,1,ELEKTRON,CONDULET T SERIE 3 DE 1
LICUAFLEX 114,TUBERIA,1 1/4,ELEKTRON,"MTS TUBO LICUATITE 1 1/4"" TRA"
UNICANAL 112 ANCLO,TUBERIA,1 1/2,ELEKTRON,"ABRAZADERA UNICAL 11/2"" ANCLO"
CONTRA 112 ANCLO,TUBERIA,1 1/2,ELEKTRON,"CONTRA DE 1 1/2"" ANCLO"
MONITOR 112 ANCLO,TUBERIA,1 1/2,ELEKTRON,"MONITOR 1 1/2"" ANCLO"
OMEGA 112 ANCLO,TUBERIA,1 1/2,ELEKTRON,"ABRAZADERA OMEGA E/A 1 1/2"" AN"
CONEX LICUA 112,TUBERIA,1 1/2,ELEKTRON,"CONECT LICUATITE RECTO 1 1/2"""
CONDULET LB 112,TUBERIA,1 1/2,ELEKTRON,"CONDULET LB SERIE 3 DE 1 1/2"""
CONDULET LL 112,TUBERIA,1 1/2,ELEKTRON,"CONDULET LL SERIE 3 DE 1 1/2"""
CONDULET LR 112,TUBERIA,1 1/2,ELEKTRON,"CONDULET LR SERIE 3 DE 1 1/2"""
CABLE C.2 THW,CORRIENTE ALTERNA,CABLE,ELEKTRON,MTS CABLE THW CAL 2 NGO ROLLO
CABLE C.4 THW,CORRIENTE ALTERNA,CABLE,ELEKTRON,MTS CABLE THW CAL 4 NGO ROLLO
CABLE C.6 THW,CORRIENTE ALTERNA,CABLE,ELEKTRON,MTS CABLE THW CAL 6 NGO ROLLO
COPLE ROSCADO 112,TUBERIA,1 1/2,ELEKTRON,COPLE GALVANIZADO E/A 11/2 (41
TUBO PG 112,TUBERIA,1 1/2,ELEKTRON,"TRAMO DE TUBO E/A 11/2""C/C (41"
CONECTOR P VARILLA,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,CONECTOR COOPER WELD P/VARILLA
VARILLA COOP,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,"VARILLA COOPER WELD 3MT 5/8"" S"
SQUARE D 125A,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,HDL I.T.M. 3P 125A 18KA
SQUARE D 50A,CORRIENTE ALTERNA,PROTECCIONES,ELEKTRON,QO 
CENTRO DE CARGA 3P,CORRIENTE ALTERNA,GABINETE,ELEKTRON,C.C 3P 100A 127/220V SOBREP P9
GAB S301,CORRIENTE ALTERNA,GABINETE,ELEKTRON,GABINETE MET.PARA INT. ED2/ED6
