CODIGO,CATEGORIA,SUB CATEGORIA,PROVEDOR,DESCRIPCION
MONITOREO MICRO APS,INVERSOR,ANTENA,NORLEK,SISTEMA MONITOREO APS ECUV4
TAPA MICRO APS,INVERSOR,MONOFASICO,NORLEK,TAPA TERMINADORA YC600
CABLE AC APS,INVERSOR,MONOFASICO,NORLEK,TRONCAL APS YC-600 12 AWG
MICRO APS 750W,INVERSOR,MONOFASICO,NORLEK,MICROINV APS YC600B 127V 750W
CABLE APS,INVERSOR,MONOFASICO,NORLEK,TRONCAL APS DS3D 10AWG
BATERIA GROWWAT 5kWh,INVERSOR,AISLADO,NORLEK,BATERIA GROWATT AXE 5KWH
CABLE GROWATT 5kWh,INVERSOR,AISLADO,NORLEK,CABLE GROWATT CONEX 5L
FOTOVOLTAICO C.10 N,CORRIENTE DIRECTA,CABLE,NORLEK,MTS CABLE SOLAR 10 AWG NEGRO
FOTOVOLTAICO C.10 R,CORRIENTE DIRECTA,CABLE,NORLEK,MTS CABLE SOLAR 10 AWG ROJO
CANADIAN 660 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL CANADIAN SOLAR 660W
GABINETE SOLAR ONE 5U,CORRIENTE DIRECTA,GABINETE,NORLEK,GABINETE SOLAR ONE 5 MODULOS
HUAWEI HBD 6K 2F,INVERSOR,BIFASICO,NORLEK,INVERSOR HUAWEI 6KW HIB
FOTOVOLTAICO C.10 N,CORRIENTE DIRECTA,CABLE,NORLEK,CABLE SOLAR 10 NEGRO UL
HUAWEI HBD 4K 2F,INVERSOR,BIFASICO,NORLEK,INVERSOR HUAWEI 4KW HIB
INVERSOR CANADIAN S 15K 2F,INVERSOR,BIFASICO,NORLEK,INV. CANADIAN SOLAR 15KW
GABINETE SOLAE ONE 8U,CORRIENTE DIRECTA,GABINETE,NORLEK,GABINETE SOLAR ONE 8 MODULOS
CANADIAN 610 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL CANADIAN SOLAR 610W
HUAWEI HBD 10K 2F,INVERSOR,BIFASICO,NORLEK,INVERSOR HUAWEI 10KW HIB
HUAWEI HBD 8K 2F,INVERSOR,BIFASICO,NORLEK,INVERSOR HUAWEI 8KW HIB
SOLIS S5 2K 2F,INVERSOR,BIFASICO,NORLEK,INV. SOLIS 2KW
FUSIBLE 25A,CORRIENTE DIRECTA,FUSIBLE,NORLEK,FUSIBLE SOLAR 25A 1000V
RISEN 600 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL RISEN TOPCON 600W
CANADIAN 555 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL CANADIAN SOLAR 555W
GROWWAT 3K 2F,INVERSOR,BIFASICO,NORLEK,INV. GROWATT SPF 3000TL LVM
RISEN 585 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL RISEN TOPCON 585W
HUAWEI 80K 2F,INVERSOR,BIFASICO,NORLEK,HUAWEI SUN2000-80KTL-220V
ANTENA HUAWEI,INVERSOR,ANTENA,NORLEK,HUAWEI SMART DONGLE
CPS 25K 3F,INVERSOR,BIFASICO,NORLEK,INV. CPS SCA25KTL-DO-R/US 480V
CANADIAN 620 MONO,PANEL SOLAR,MONOCRISTALINO,NORLEK,PANEL CANADIAN SOLAR 620W
INVERSOR CANADIAN S 5K 2F,INVERSOR,BIFASICO,NORLEK,INV. CANADIAN SOLAR 5KW
